index,reason,year,transect
120,Year 2014 (40% below median visits),2014,fort de france centre ville
121,Year 2014 (40% below median visits),2014,fort de france centre ville
122,Year 2014 (40% below median visits),2014,fort de france centre ville
123,Year 2014 (40% below median visits),2014,fort de france centre ville
124,Year 2014 (40% below median visits),2014,fort de france centre ville
125,Year 2014 (40% below median visits),2014,fort de france centre ville
126,Year 2014 (40% below median visits),2014,fort de france centre ville
127,Year 2014 (40% below median visits),2014,fort de france centre ville
128,Year 2014 (40% below median visits),2014,fort de france centre ville
129,Year 2014 (40% below median visits),2014,fort de france centre ville
130,Year 2014 (40% below median visits),2014,fort de france centre ville
131,Year 2014 (40% below median visits),2014,fort de france centre ville
132,Year 2014 (40% below median visits),2014,fort de france centre ville
133,Year 2014 (40% below median visits),2014,fort de france centre ville
134,Year 2014 (40% below median visits),2014,fort de france centre ville
135,Year 2014 (40% below median visits),2014,fort de france centre ville
136,Year 2014 (40% below median visits),2014,fort de france centre ville
137,Year 2014 (40% below median visits),2014,fort de france centre ville
138,Year 2014 (40% below median visits),2014,fort de france centre ville
139,Year 2014 (40% below median visits),2014,fort de france centre ville
140,Year 2014 (40% below median visits),2014,fort de france centre ville
141,Year 2014 (40% below median visits),2014,fort de france centre ville
142,Year 2014 (40% below median visits),2014,tunnel didier
143,Year 2014 (40% below median visits),2014,tunnel didier
144,Year 2014 (40% below median visits),2014,tunnel didier
145,Year 2014 (40% below median visits),2014,tunnel didier
146,Year 2014 (40% below median visits),2014,tunnel didier
147,Year 2014 (40% below median visits),2014,tunnel didier
148,Year 2014 (40% below median visits),2014,tunnel didier
149,Year 2014 (40% below median visits),2014,tunnel didier
150,Year 2014 (40% below median visits),2014,tunnel didier
151,Year 2014 (40% below median visits),2014,tunnel didier
152,Year 2014 (40% below median visits),2014,tunnel didier
153,Year 2014 (40% below median visits),2014,tunnel didier
154,Year 2014 (40% below median visits),2014,tunnel didier
155,Year 2014 (40% below median visits),2014,tunnel didier
156,Year 2014 (40% below median visits),2014,tunnel didier
157,Year 2014 (40% below median visits),2014,tunnel didier
158,Year 2014 (40% below median visits),2014,tunnel didier
159,Year 2014 (40% below median visits),2014,tunnel didier
160,Year 2014 (40% below median visits),2014,tunnel didier
161,Year 2014 (40% below median visits),2014,tunnel didier
162,Year 2014 (40% below median visits),2014,tunnel didier
163,Year 2014 (40% below median visits),2014,tunnel didier
164,Year 2014 (40% below median visits),2014,tunnel didier
165,Year 2014 (40% below median visits),2014,tunnel didier
166,Year 2014 (40% below median visits),2014,tunnel didier
167,Year 2014 (40% below median visits),2014,tunnel didier
168,Year 2014 (40% below median visits),2014,tunnel didier
169,Year 2014 (40% below median visits),2014,tunnel didier
170,Year 2014 (40% below median visits),2014,tunnel didier
171,Year 2014 (40% below median visits),2014,tunnel didier
172,Year 2014 (40% below median visits),2014,tunnel didier
173,Year 2014 (40% below median visits),2014,tunnel didier
174,Year 2014 (40% below median visits),2014,tunnel didier
175,Year 2014 (40% below median visits),2014,tunnel didier
176,Year 2014 (40% below median visits),2014,tunnel didier
177,Year 2014 (40% below median visits),2014,tunnel didier
178,Year 2014 (40% below median visits),2014,tunnel didier
179,Year 2014 (40% below median visits),2014,tunnel didier
180,Year 2014 (40% below median visits),2014,tunnel didier
181,Year 2014 (40% below median visits),2014,tunnel didier
182,Year 2014 (40% below median visits),2014,tunnel didier
183,Year 2014 (40% below median visits),2014,tunnel didier
184,Year 2014 (40% below median visits),2014,tunnel didier
185,Year 2014 (40% below median visits),2014,tunnel didier
186,Year 2014 (40% below median visits),2014,tunnel didier
187,Year 2014 (40% below median visits),2014,tunnel didier
188,Year 2014 (40% below median visits),2014,tunnel didier
189,Year 2014 (40% below median visits),2014,tunnel didier
190,Year 2014 (40% below median visits),2014,tunnel didier
191,Year 2014 (40% below median visits),2014,tunnel didier
192,Year 2014 (40% below median visits),2014,tunnel didier
193,Year 2014 (40% below median visits),2014,tunnel didier
194,Year 2014 (40% below median visits),2014,tunnel didier
195,Year 2014 (40% below median visits),2014,tunnel didier
196,Year 2014 (40% below median visits),2014,tunnel didier
197,Year 2014 (40% below median visits),2014,tunnel didier
198,Year 2014 (40% below median visits),2014,tunnel didier
199,Year 2014 (40% below median visits),2014,tunnel didier
200,Year 2014 (40% below median visits),2014,tunnel didier
201,Year 2014 (40% below median visits),2014,tunnel didier
202,Year 2014 (40% below median visits),2014,tunnel didier
203,Year 2014 (40% below median visits),2014,tunnel didier
204,Year 2014 (40% below median visits),2014,tunnel didier
205,Year 2014 (40% below median visits),2014,tunnel didier
206,Year 2014 (40% below median visits),2014,tunnel didier
207,Year 2014 (40% below median visits),2014,tunnel didier
208,Year 2014 (40% below median visits),2014,tunnel didier
209,Year 2014 (40% below median visits),2014,tunnel didier
210,Year 2014 (40% below median visits),2014,tunnel didier
211,Year 2014 (40% below median visits),2014,tunnel didier
212,Year 2014 (40% below median visits),2014,tunnel didier
213,Year 2014 (40% below median visits),2014,tunnel didier
214,Year 2014 (40% below median visits),2014,tunnel didier
215,Year 2014 (40% below median visits),2014,tunnel didier
216,Year 2014 (40% below median visits),2014,tunnel didier
217,Year 2014 (40% below median visits),2014,tunnel didier
218,Year 2014 (40% below median visits),2014,tunnel didier
219,Year 2014 (40% below median visits),2014,tunnel didier
220,Year 2014 (40% below median visits),2014,tunnel didier
221,Year 2014 (40% below median visits),2014,tunnel didier
222,Year 2014 (40% below median visits),2014,fort de france centre ville
223,Year 2014 (40% below median visits),2014,fort de france centre ville
224,Year 2014 (40% below median visits),2014,fort de france centre ville
225,Year 2014 (40% below median visits),2014,fort de france centre ville
226,Year 2014 (40% below median visits),2014,fort de france centre ville
227,Year 2014 (40% below median visits),2014,fort de france centre ville
228,Year 2014 (40% below median visits),2014,fort de france centre ville
229,Year 2014 (40% below median visits),2014,fort de france centre ville
230,Year 2014 (40% below median visits),2014,fort de france centre ville
231,Year 2014 (40% below median visits),2014,fort de france centre ville
232,Year 2014 (40% below median visits),2014,fort de france centre ville
233,Year 2014 (40% below median visits),2014,fort de france centre ville
234,Year 2014 (40% below median visits),2014,fort de france centre ville
235,Year 2014 (40% below median visits),2014,fort de france centre ville
236,Year 2014 (40% below median visits),2014,fort de france centre ville
237,Year 2014 (40% below median visits),2014,fort de france centre ville
238,Year 2014 (40% below median visits),2014,fort de france centre ville
239,Year 2014 (40% below median visits),2014,fort de france centre ville
240,Year 2014 (40% below median visits),2014,fort de france centre ville
241,Year 2014 (40% below median visits),2014,fort de france centre ville
242,Year 2014 (40% below median visits),2014,fort de france centre ville
243,Year 2014 (40% below median visits),2014,fort de france centre ville
244,Year 2014 (40% below median visits),2014,fort de france centre ville
245,Year 2014 (40% below median visits),2014,fort de france centre ville
246,Year 2014 (40% below median visits),2014,fort de france centre ville
247,Year 2014 (40% below median visits),2014,fort de france centre ville
248,Year 2014 (40% below median visits),2014,fort de france centre ville
249,Year 2014 (40% below median visits),2014,fort de france centre ville
250,Year 2014 (40% below median visits),2014,fort de france centre ville
251,Year 2014 (40% below median visits),2014,fort de france centre ville
252,Year 2014 (40% below median visits),2014,fort de france centre ville
253,Year 2014 (40% below median visits),2014,fort de france centre ville
254,Year 2014 (40% below median visits),2014,fort de france centre ville
255,Year 2014 (40% below median visits),2014,fort de france centre ville
256,Year 2014 (40% below median visits),2014,fort de france centre ville
257,Year 2014 (40% below median visits),2014,fort de france centre ville
258,Year 2014 (40% below median visits),2014,fort de france centre ville
259,Year 2014 (40% below median visits),2014,fort de france centre ville
260,Year 2014 (40% below median visits),2014,fort de france centre ville
261,Year 2014 (40% below median visits),2014,fort de france centre ville
262,Year 2014 (40% below median visits),2014,fort de france centre ville
263,Year 2014 (40% below median visits),2014,fort de france centre ville
264,Year 2014 (40% below median visits),2014,fort de france centre ville
265,Year 2014 (40% below median visits),2014,fort de france centre ville
266,Year 2014 (40% below median visits),2014,fort de france centre ville
267,Year 2014 (40% below median visits),2014,fort de france centre ville
268,Year 2014 (40% below median visits),2014,fort de france centre ville
269,Year 2014 (40% below median visits),2014,fort de france centre ville
270,Year 2014 (40% below median visits),2014,fort de france centre ville
271,Year 2014 (40% below median visits),2014,fort de france centre ville
272,Year 2014 (40% below median visits),2014,fort de france centre ville
273,Year 2014 (40% below median visits),2014,fort de france centre ville
274,Year 2014 (40% below median visits),2014,fort de france centre ville
275,Year 2014 (40% below median visits),2014,fort de france centre ville
276,Year 2014 (40% below median visits),2014,fort de france centre ville
277,Year 2014 (40% below median visits),2014,fort de france centre ville
278,Year 2014 (40% below median visits),2014,fort de france centre ville
279,Year 2014 (40% below median visits),2014,fort de france centre ville
280,Year 2014 (40% below median visits),2014,fort de france centre ville
281,Year 2014 (40% below median visits),2014,fort de france centre ville
282,Year 2014 (40% below median visits),2014,fort de france centre ville
283,Year 2014 (40% below median visits),2014,fort de france centre ville
284,Year 2014 (40% below median visits),2014,fort de france centre ville
285,Year 2014 (40% below median visits),2014,fond l'etang
286,Year 2014 (40% below median visits),2014,fond l'etang
287,Year 2014 (40% below median visits),2014,fond l'etang
288,Year 2014 (40% below median visits),2014,fond l'etang
289,Year 2014 (40% below median visits),2014,fond l'etang
290,Year 2014 (40% below median visits),2014,fond l'etang
291,Year 2014 (40% below median visits),2014,fond l'etang
292,Year 2014 (40% below median visits),2014,fond l'etang
293,Year 2014 (40% below median visits),2014,fond l'etang
294,Year 2014 (40% below median visits),2014,fond l'etang
295,Year 2014 (40% below median visits),2014,fond l'etang
296,Year 2014 (40% below median visits),2014,fond l'etang
297,Year 2014 (40% below median visits),2014,fond l'etang
298,Year 2014 (40% below median visits),2014,fond l'etang
299,Year 2014 (40% below median visits),2014,fond l'etang
300,Year 2014 (40% below median visits),2014,fond l'etang
301,Year 2014 (40% below median visits),2014,fond l'etang
302,Year 2014 (40% below median visits),2014,fond l'etang
303,Year 2014 (40% below median visits),2014,fond l'etang
304,Year 2014 (40% below median visits),2014,fond l'etang
305,Year 2014 (40% below median visits),2014,fond l'etang
306,Year 2014 (40% below median visits),2014,fond l'etang
307,Year 2014 (40% below median visits),2014,fond l'etang
308,Year 2014 (40% below median visits),2014,fond l'etang
309,Year 2014 (40% below median visits),2014,fond l'etang
310,Year 2014 (40% below median visits),2014,fond l'etang
311,Year 2014 (40% below median visits),2014,fond l'etang
312,Year 2014 (40% below median visits),2014,fond l'etang
313,Year 2014 (40% below median visits),2014,fond l'etang
314,Year 2014 (40% below median visits),2014,fond l'etang
315,Year 2014 (40% below median visits),2014,fond l'etang
316,Year 2014 (40% below median visits),2014,fond l'etang
317,Year 2014 (40% below median visits),2014,fond l'etang
318,Year 2014 (40% below median visits),2014,fond l'etang
319,Year 2014 (40% below median visits),2014,fond l'etang
320,Year 2014 (40% below median visits),2014,fond l'etang
321,Year 2014 (40% below median visits),2014,fond l'etang
322,Year 2014 (40% below median visits),2014,fond l'etang
323,Year 2014 (40% below median visits),2014,fond l'etang
324,Year 2014 (40% below median visits),2014,fond l'etang
325,Year 2014 (40% below median visits),2014,fond l'etang
326,Year 2014 (40% below median visits),2014,fond l'etang
327,Year 2014 (40% below median visits),2014,fond l'etang
328,Year 2014 (40% below median visits),2014,fond l'etang
329,Year 2014 (40% below median visits),2014,fond l'etang
330,Year 2014 (40% below median visits),2014,fond l'etang
331,Year 2014 (40% below median visits),2014,fond l'etang
332,Year 2014 (40% below median visits),2014,fond l'etang
333,Year 2014 (40% below median visits),2014,fond l'etang
334,Year 2014 (40% below median visits),2014,fond l'etang
335,Year 2014 (40% below median visits),2014,fond l'etang
336,Year 2014 (40% below median visits),2014,fond l'etang
337,Year 2014 (40% below median visits),2014,fond l'etang
338,Year 2014 (40% below median visits),2014,fond l'etang
339,Year 2014 (40% below median visits),2014,fond l'etang
340,Year 2014 (40% below median visits),2014,fond l'etang
341,Year 2014 (40% below median visits),2014,fond l'etang
342,Year 2014 (40% below median visits),2014,fond l'etang
343,Year 2014 (40% below median visits),2014,fond l'etang
344,Year 2014 (40% below median visits),2014,fond l'etang
345,Year 2014 (40% below median visits),2014,fond l'etang
346,Year 2014 (40% below median visits),2014,fond l'etang
347,Year 2014 (40% below median visits),2014,tunnel didier
348,Year 2014 (40% below median visits),2014,tunnel didier
349,Year 2014 (40% below median visits),2014,tunnel didier
350,Year 2014 (40% below median visits),2014,tunnel didier
351,Year 2014 (40% below median visits),2014,tunnel didier
352,Year 2014 (40% below median visits),2014,tunnel didier
353,Year 2014 (40% below median visits),2014,tunnel didier
354,Year 2014 (40% below median visits),2014,tunnel didier
355,Year 2014 (40% below median visits),2014,tunnel didier
356,Year 2014 (40% below median visits),2014,tunnel didier
357,Year 2014 (40% below median visits),2014,tunnel didier
358,Year 2014 (40% below median visits),2014,tunnel didier
359,Year 2014 (40% below median visits),2014,tunnel didier
360,Year 2014 (40% below median visits),2014,tunnel didier
361,Year 2014 (40% below median visits),2014,tunnel didier
362,Year 2014 (40% below median visits),2014,tunnel didier
363,Year 2014 (40% below median visits),2014,tunnel didier
364,Year 2014 (40% below median visits),2014,tunnel didier
365,Year 2014 (40% below median visits),2014,tunnel didier
366,Year 2014 (40% below median visits),2014,tunnel didier
367,Year 2014 (40% below median visits),2014,tunnel didier
368,Year 2014 (40% below median visits),2014,tunnel didier
369,Year 2014 (40% below median visits),2014,tunnel didier
370,Year 2014 (40% below median visits),2014,tunnel didier
371,Year 2014 (40% below median visits),2014,tunnel didier
372,Year 2014 (40% below median visits),2014,tunnel didier
373,Year 2014 (40% below median visits),2014,tunnel didier
374,Year 2014 (40% below median visits),2014,tunnel didier
375,Year 2014 (40% below median visits),2014,tunnel didier
376,Year 2014 (40% below median visits),2014,tunnel didier
377,Year 2014 (40% below median visits),2014,tunnel didier
378,Year 2014 (40% below median visits),2014,tunnel didier
379,Year 2014 (40% below median visits),2014,tunnel didier
380,Year 2014 (40% below median visits),2014,tunnel didier
381,Year 2014 (40% below median visits),2014,tunnel didier
382,Year 2014 (40% below median visits),2014,tunnel didier
383,Year 2014 (40% below median visits),2014,tunnel didier
384,Year 2014 (40% below median visits),2014,tunnel didier
385,Year 2014 (40% below median visits),2014,tunnel didier
386,Year 2014 (40% below median visits),2014,tunnel didier
387,Year 2014 (40% below median visits),2014,tunnel didier
388,Year 2014 (40% below median visits),2014,tunnel didier
389,Year 2014 (40% below median visits),2014,tunnel didier
390,Year 2014 (40% below median visits),2014,tunnel didier
391,Year 2014 (40% below median visits),2014,tunnel didier
392,Year 2014 (40% below median visits),2014,tunnel didier
393,Year 2014 (40% below median visits),2014,tunnel didier
394,Year 2014 (40% below median visits),2014,tunnel didier
395,Year 2014 (40% below median visits),2014,tunnel didier
396,Year 2014 (40% below median visits),2014,tunnel didier
397,Year 2014 (40% below median visits),2014,tunnel didier
398,Year 2014 (40% below median visits),2014,tunnel didier
399,Year 2014 (40% below median visits),2014,tunnel didier
400,Year 2014 (40% below median visits),2014,tunnel didier
401,Year 2014 (40% below median visits),2014,tunnel didier
402,Year 2014 (40% below median visits),2014,tunnel didier
403,Year 2014 (40% below median visits),2014,tunnel didier
404,Year 2014 (40% below median visits),2014,tunnel didier
405,Year 2014 (40% below median visits),2014,tunnel didier
406,Year 2014 (40% below median visits),2014,tunnel didier
407,Year 2014 (40% below median visits),2014,tunnel didier
408,Year 2014 (40% below median visits),2014,tunnel didier
409,Year 2014 (40% below median visits),2014,tunnel didier
410,Year 2014 (40% below median visits),2014,tunnel didier
411,Year 2014 (40% below median visits),2014,tunnel didier
412,Year 2014 (40% below median visits),2014,tunnel didier
413,Year 2014 (40% below median visits),2014,tunnel didier
414,Year 2014 (40% below median visits),2014,tunnel didier
415,Year 2014 (40% below median visits),2014,tunnel didier
416,Year 2014 (40% below median visits),2014,tunnel didier
417,Year 2014 (40% below median visits),2014,tunnel didier
418,Year 2014 (40% below median visits),2014,tunnel didier
419,Year 2014 (40% below median visits),2014,tunnel didier
420,Year 2014 (40% below median visits),2014,tunnel didier
421,Year 2014 (40% below median visits),2014,tunnel didier
422,Year 2014 (40% below median visits),2014,tunnel didier
423,Year 2014 (40% below median visits),2014,tunnel didier
424,Year 2014 (40% below median visits),2014,tunnel didier
425,Year 2014 (40% below median visits),2014,tunnel didier
426,Year 2014 (40% below median visits),2014,tunnel didier
427,Year 2014 (40% below median visits),2014,hôtel des plaisirs
428,Year 2014 (40% below median visits),2014,hôtel des plaisirs
429,Year 2014 (40% below median visits),2014,hôtel des plaisirs
430,Year 2014 (40% below median visits),2014,hôtel des plaisirs
431,Year 2014 (40% below median visits),2014,hôtel des plaisirs
432,Year 2014 (40% below median visits),2014,hôtel des plaisirs
433,Year 2014 (40% below median visits),2014,hôtel des plaisirs
434,Year 2014 (40% below median visits),2014,hôtel des plaisirs
435,Year 2014 (40% below median visits),2014,hôtel des plaisirs
436,Year 2014 (40% below median visits),2014,hôtel des plaisirs
437,Year 2014 (40% below median visits),2014,hôtel des plaisirs
438,Year 2014 (40% below median visits),2014,hôtel des plaisirs
439,Year 2014 (40% below median visits),2014,hôtel des plaisirs
440,Year 2014 (40% below median visits),2014,hôtel des plaisirs
441,Year 2014 (40% below median visits),2014,hôtel des plaisirs
