ESPECE,year,count_sum,presence_rate,n_rows,count_sum_ci_low,count_sum_ci_high,presence_ci_low,presence_ci_high
Sucrier à ventre jaune,2019,2581.0,1.0,934,2485.9,2680.025,1.0,1.0
Sucrier à ventre jaune,2020,2546.0,1.0,941,2451.975,2643.025,1.0,1.0
Sucrier à ventre jaune,2021,3008.0,1.0,986,2901.95,3126.1,1.0,1.0
Sucrier à ventre jaune,2022,2789.0,0.9990157480314961,1016,2673.975,2896.025,0.9970472440944882,1.0
Sucrier à ventre jaune,2023,2625.0,1.0,961,2528.875,2717.025,1.0,1.0
Sucrier à ventre jaune,2024,2632.0,1.0,997,2534.975,2720.05,1.0,1.0
Sucrier à ventre jaune,2025,2557.0,1.0,960,2462.975,2655.0,1.0,1.0
Tourterelle à queue carrée,2015,1248.0,0.9950248756218906,603,1182.975,1315.05,0.9900082918739636,1.0
Tourterelle à queue carrée,2016,1815.0,1.0,852,1726.0,1894.05,1.0,1.0
Tourterelle à queue carrée,2017,1626.0,1.0,713,1512.0,1738.025,1.0,1.0
Tourterelle à queue carrée,2018,1474.0,0.9986357435197817,733,1385.975,1589.1,0.9959072305593452,1.0
Tourterelle à queue carrée,2019,1578.0,1.0,736,1489.975,1681.025,1.0,1.0
Tourterelle à queue carrée,2020,1829.0,0.9974489795918368,784,1734.0,1923.025,0.9936224489795918,1.0
Tourterelle à queue carrée,2021,1828.0,1.0,808,1732.975,1946.025,1.0,1.0
Tourterelle à queue carrée,2022,1999.0,1.0,805,1895.975,2123.05,1.0,1.0
Tourterelle à queue carrée,2023,1982.0,0.9975460122699387,815,1878.95,2081.125,0.9938650306748467,1.0
Tourterelle à queue carrée,2024,2130.0,1.0,860,2035.0,2237.0,1.0,1.0
Tourterelle à queue carrée,2025,1860.0,0.9987878787878788,825,1760.9,1993.2749999999996,0.9963636363636363,1.0
