ESPECE,mean_count,median_count,std_count,cv_count,min_count,max_count,range_count,mean_presence,std_presence,years_with_data,selection_reason
Quiscale merle,3289.424242424243,3358.0,323.2506951849561,0.09826968835942138,2687.0,3798.0,1111.0,0.9956326897577058,0.0029944279816313413,11,Top abundance
Sucrier à ventre jaune,2585.6363636363635,2581.0,196.44396505100045,0.07597509371918308,2228.0,3008.0,780.0,0.9996843805311311,0.0007422904014846317,11,Top abundance
Elénie siffleuse,1807.909090909091,1819.0,240.38168684802264,0.13296115831086885,1321.0,2181.0,860.0,0.9998628822158234,0.0004336045057134743,11,Top abundance
Tourterelle à queue carrée,1760.8181818181818,1828.0,245.08396267469354,0.13918754656521395,1248.0,2130.0,882.0,0.9988584990719388,0.001545632821271139,11,Top abundance
Sporophile rougegorge,1747.7272727272727,1749.0,205.8327171224646,0.11777164568775608,1301.0,2077.0,776.0,0.9995993581027921,0.0009380808028257943,11,Top abundance
Colombe rouviolette,74.28571428571428,73.0,12.163847404233143,0.16374409967236925,43.0,89.0,46.0,0.9976076555023923,0.007565257560211426,11,Modality dependence (audio)
Aigrette neigeuse,33.45454545454545,34.0,9.736189625811118,0.29102740729326715,19.0,47.0,28.0,0.9517599067599068,0.05262530097433254,11,Modality dependence (visual)
