ESPECE,count_slope_per_year,count_slope_ci_low,count_slope_ci_high,presence_slope_per_year,presence_slope_ci_low,presence_slope_ci_high
Quiscale merle,-31.351515151515105,-109.57180311750886,61.65798482216023,-0.00026219338126817835,-0.0009694809522989698,0.00027267831064022166
Sucrier à ventre jaune,30.563636363636345,-2.6443661825055935,77.34065751223987,9.517551825697901e-05,-7.166264554040644e-05,0.0002509277555882713
Elénie siffleuse,50.381818181818204,12.02327021327154,98.86612719583593,6.855889208830384e-05,-6.759036955265066e-17,0.00016653833908318152
Tourterelle à queue carrée,60.80000000000007,23.223892743049422,99.5557921974522,0.0001289233236381089,-0.00021169078790144567,0.0004770284911244775
Sporophile rougegorge,18.027272727272774,-26.892764843356044,75.25602061957358,0.00015405678020239536,-5.2209318405202094e-17,0.00035462627793982835
Colombe rouviolette,1.6688311688311692,-1.0171419837598,4.598725957335195,0.0011961722488038331,-6.759036955265066e-17,0.0029056557582146755
Aigrette neigeuse,-0.3727272727272718,-3.538216861263735,1.3845259443360807,0.00243356643356648,-0.011935428392745449,0.013255096184984747
