,Quiscale merle,Sucrier à ventre jaune,Elénie siffleuse,Tourterelle à queue carrée,Sporophile rougegorge,Colombe rouviolette,Aigrette neigeuse
Quiscale merle,1.0,0.45176827788422186,0.3420596817488226,0.14666647874364536,0.6385870409994371,0.5992300470426373,0.22872095483926852
Sucrier à ventre jaune,0.4517682778842218,1.0,0.798073216192256,0.6837078838051758,0.7585401658031566,0.8080433234574107,-0.13247834680376425
Elénie siffleuse,0.3420596817488227,0.7980732161922561,1.0,0.8927987483993972,0.653862206884311,0.777644156004236,-0.28381085563651914
Tourterelle à queue carrée,0.14666647874364536,0.6837078838051759,0.8927987483993972,1.0,0.4453943455944726,0.7912189022539722,-0.09639167421418887
Sporophile rougegorge,0.6385870409994371,0.7585401658031566,0.653862206884311,0.44539434559447255,1.0,0.6870302620854369,-0.07936914105005416
Colombe rouviolette,0.5992300470426372,0.8080433234574108,0.777644156004236,0.7912189022539722,0.6870302620854369,1.0,0.11196312971911246
Aigrette neigeuse,0.2287209548392685,-0.13247834680376425,-0.2838108556365191,-0.09639167421418887,-0.07936914105005416,0.11196312971911244,1.0
