ESPECE,rain_p_value,rain_significant,rain_effect_size,cloud_p_value,cloud_significant,cloud_effect_size,mean_count,total_visits
Chevalier criard,,,,,,,1.0,3
Martinet,,,,,,,3.8,5
Huîtrier d'Amérique,,,,,,,1.0,3
Grande héron,,,,,,,1.0,2
Pigeon à cou rouge,,,,,,,1.3333333333333333,6
Tourterelle oreillarde,,,,,,,2.0,1
Egretta sp.,,,,,,,1.0,1
Colombe à croissant,,,,,,,1.0,2
Capucin sp,,,,,,,6.0,3
Gallinacées,,,,,,,4.5,2
Falconidé,,,,,,,1.0,1
Aigrette tricolore,,,,,,,1.0,1
Héron ?,,,,,,,1.0,1
Coq bankiva,,,,,,,1.0,1
